"source_id","attribute","value"
6126469654585981952,"parallax",5.71793295783185
6126469654585981952,"phot_g_mean_mag",2.508257
6126469654585981952,"phot_bp_mean_mag",2.8839037
6126469654585981952,"phot_rp_mean_mag",2.6314585
6126469654585981952,"pmra",-42.6131463904303
6126469654585981952,"pmdec",-11.1348169269889
5917537534527580160,"ra",254.65491303479
5917537534527580160,"dec",-55.99029939641
5917537534527580160,"parallax",5.77248444328301
5917537534527580160,"phot_g_mean_mag",2.5107856
5917537534527580160,"phot_bp_mean_mag",3.7142208
5917537534527580160,"phot_rp_mean_mag",2.1016068
5917537534527580160,"pmra",-17.5182377470216
5917537534527580160,"pmdec",-36.1200350388883
5361403934691772416,"ra",161.69286450439
5361403934691772416,"dec",-49.4204769139519
5361403934691772416,"parallax",29.0505841447554
5361403934691772416,"phot_g_mean_mag",2.5133939
5361403934691772416,"phot_bp_mean_mag",3.3215032
5361403934691772416,"phot_rp_mean_mag",2.2191339
5361403934691772416,"pmra",68.5367356507776
5361403934691772416,"pmdec",-48.8191551622289
4076915349846977536,"ra",276.992443400502
4076915349846977536,"dec",-25.4225230336378
4076915349846977536,"parallax",42.919834283061
4076915349846977536,"phot_g_mean_mag",2.5435061
4076915349846977536,"phot_bp_mean_mag",3.4018164
4076915349846977536,"phot_rp_mean_mag",2.200824
4076915349846977536,"pmra",-46.1515533941336
4076915349846977536,"pmdec",-185.067360125482
5306951892646516736,"ra",142.805225905764
5306951892646516736,"dec",-57.0343504216654
5306951892646516736,"parallax",14.6233966090937
5306951892646516736,"phot_g_mean_mag",2.5465453
5306951892646516736,"phot_bp_mean_mag",3.7475293
5306951892646516736,"phot_rp_mean_mag",2.1003063
5306951892646516736,"pmra",-32.6151832229633
5306951892646516736,"pmdec",5.85656575255689
1297565458994346240,"ra",247.554529319034
1297565458994346240,"dec",21.4895446607187
1297565458994346240,"parallax",22.0022544381707
1297565458994346240,"phot_g_mean_mag",2.547638
1297565458994346240,"phot_bp_mean_mag",3.36776
1297565458994346240,"phot_rp_mean_mag",2.2266295
1297565458994346240,"pmra",-98.8218684108701
1297565458994346240,"pmdec",-14.8692390963362
1415230383034813952,"ra",262.608057594129
1415230383034813952,"dec",52.3014433296154
1415230383034813952,"parallax",8.91981649494299
1415230383034813952,"phot_g_mean_mag",2.5482864
