SOURCE_ID	dec_bp_1	dec_bp_2	dec_g_1	dec_g_2	dec_rp_1	dec_rp_2	magnitude_bp_1	magnitude_bp_2	magnitude_g_1	magnitude_g_2	magnitude_rp_1	magnitude_rp_2	parallax_bp_1	parallax_bp_2	parallax_g_1	parallax_g_2	parallax_rp_1	parallax_rp_2	ra_bp_1	ra_bp_2	ra_g_1	ra_g_2	ra_rp_1	ra_rp_2
4668472053086341760	-66.92679311993898	-66.92679311993898	-66.92679311993898	-66.92679311993898	-66.92679311993898	-66.92679311993898	21.1580867767334	21.2580867767334	20.808671951293945	20.908671951293947	19.95213890075684	20.05213890075684	1.6528475588594496	1.6528475588594496	1.6528475588594496	1.6528475588594496	1.6528475588594496	1.6528475588594496	63.04117055828738	63.04117055828738	63.04117055828738	63.04117055828738	63.04117055828738	63.04117055828738
4668472117510576384	-66.91868641407592	-66.91868641407592	-66.91868641407592	-66.91868641407592	-66.91868641407592	-66.91868641407592	18.32492446899414	18.424924468994146	18.084566116333008	18.18456611633301	17.695602416992188	17.79560241699219	0.1060622327589073	0.1060622327589073	0.1060622327589073	0.1060622327589073	0.1060622327589073	0.1060622327589073	63.09756739405852	63.09756739405852	63.09756739405852	63.09756739405852	63.09756739405852	63.09756739405852
4668472117510578304	-66.90881139304173	-66.90881139304173	-66.90881139304173	-66.90881139304173	-66.90881139304173	-66.90881139304173	19.18247413635254	19.28247413635254	18.123106002807617	18.22310600280762	17.117368698120117	17.21736869812012	1.5249994164054428	1.5249994164054428	1.5249994164054428	1.5249994164054428	1.5249994164054428	1.5249994164054428	63.07407469840452	63.07407469840452	63.07407469840452	63.07407469840452	63.07407469840452	63.07407469840452
4668472156166021248	-66.91009676944256	-66.91009676944256	-66.91009676944256	-66.91009676944256	-66.91009676944256	-66.91009676944256	20.267333984375	20.367333984375	19.741464614868164	19.841464614868165	19.156673431396484	19.25667343139649	0.0960355614067569	0.0960355614067569	0.0960355614067569	0.0960355614067569	0.0960355614067569	0.0960355614067569	63.0308512432488	63.0308512432488	63.0308512432488	63.0308512432488	63.0308512432488	63.0308512432488
4668472254949532032	-66.90675713639001	-66.90675713639001	-66.90675713639001	-66.90675713639001	-66.90675713639001	-66.90675713639001	18.47978782653809	18.579787826538087	18.194732666015625	18.294732666015623	17.754671096801758	17.85467109680176	0.2834738424001986	0.2834738424001986	0.2834738424001986	0.2834738424001986	0.2834738424001986	0.2834738424001986	62.98481640485942	62.98481640485942	62.98481640485942	62.98481640485942	62.98481640485942	62.98481640485942
4668472289309270016	-66.9064700989997	-66.9064700989997	-66.9064700989997	-66.9064700989997	-66.9064700989997	-66.9064700989997	19.855424880981445	19.955424880981447	18.97505569458008	19.07505569458008	17.97758674621582	18.07758674621582	0.9994084252434646	0.9994084252434646	0.9994084252434646	0.9994084252434646	0.9994084252434646	0.9994084252434646	62.94718235324111	62.94718235324111	62.94718235324111	62.94718235324111	62.94718235324111	62.94718235324111
4668472289309270784	-66.9038016858627	-66.9038016858627	-66.9038016858627	-66.9038016858627	-66.9038016858627	-66.9038016858627	17.4594669342041	17.559466934204103	17.046157836914062	17.146157836914064	16.46645736694336	16.56645736694336	0.5981443791611583	0.5981443791611583	0.5981443791611583	0.5981443791611583	0.5981443791611583	0.5981443791611583	62.95478571888022	62.95478571888022	62.95478571888022	62.95478571888022	62.95478571888022	62.95478571888022
4668472327964712832	-66.89346116977005	-66.89346116977005	-66.89346116977005	-66.89346116977005	-66.89346116977005	-66.89346116977005	17.15496063232422	17.25496063232422	16.793081283569336	16.893081283569337	16.2611083984375	16.3611083984375	0.219621618303456	0.219621618303456	0.219621618303456	0.219621618303456	0.219621618303456	0.219621618303456	62.953830071971375	62.953830071971375	62.953830071971375	62.953830071971375	62.953830071971375	62.953830071971375
4668472392388488832	-66.89500759374106	-66.89500759374106	-66.89500759374106	-66.89500759374106	-66.89500759374106	-66.89500759374106	19.174638748168945	19.274638748168947	17.855146408081055	17.955146408081056	16.729488372802734	16.829488372802736	2.558074762354614	2.558074762354614	2.558074762354614	2.558074762354614	2.558074762354614	2.558074762354614	63.02798965242052	63.02798965242052	63.02798965242052	63.02798965242052	63.02798965242052	63.02798965242052
4668472465403666432	-66.86787884566778	-66.86787884566778	-66.86787884566778	-66.86787884566778	-66.86787884566778	-66.86787884566778	16.213489532470703	16.313489532470705	15.868432998657228	15.968432998657226	15.353528022766112	15.453528022766111	0.564205497594903	0.564205497594903	0.564205497594903	0.564205497594903	0.564205497594903	0.564205497594903	62.983127574732784	62.983127574732784	62.983127574732784	62.983127574732784	62.983127574732784	62.983127574732784
4668472495467690496	-66.94206838598437	-66.94206838598437	-66.94206838598437	-66.94206838598437	-66.94206838598437	-66.94206838598437	19.71064567565918	19.81064567565918	18.884721755981445	18.984721755981447	18.037918090820312	18.137918090820317	0.7908432696881121	0.7908432696881121	0.7908432696881121	0.7908432696881121	0.7908432696881121	0.7908432696881121	62.8514521007353	62.8514521007353	62.8514521007353	62.8514521007353	62.8514521007353	62.8514521007353
