	LogL_21M003M	LogT_21M003M	L(sun)_21M003M	T_21M003M
1.39263203	3.70529079	24.69630784	5073.302871
1.39575872	3.70459226	24.87474973	5065.149404
1.39895261	3.70389474	25.05835803	5057.020801
1.40282208	3.70322237	25.28262016	5049.197634
1.40685668	3.70254983	25.51859034	5041.384595
1.41097122	3.70187816	25.76150434	5033.59373
1.41572309	3.70122865	26.04492373	5026.071355
1.42056539	3.70058063	26.33694459	5018.57744
1.42560415	3.69993853	26.64428988	5011.163007
1.43104076	3.69931431	26.97992636	5003.965537
1.43649524	3.6986993	27.32091499	4996.884372
1.44227513	3.69809394	27.68695087	4989.924103
1.44820862	3.69750201	28.06781595	4983.127623
1.45423098	3.69691415	28.4597434	4976.387036
1.46059067	3.69633973	28.87956651	4969.809364
1.46695715	3.69577228	29.30604081	4963.320042
1.47357756	3.69521213	29.75620623	4956.922513
1.48029602	3.69466124	30.22010855	4950.638786
1.4871328	3.69411371	30.69960588	4944.401278
1.49416354	3.69357616	31.20064269	4938.285108
1.501214	3.69304062	31.71129662	4932.199332
1.50851545	3.69251373	32.24894043	4926.219171
1.51581916	3.69199124	32.79587028	4920.29611
1.52328857	3.6914724	33.36480339	4914.421474
1.53082471	3.69096007	33.94882207	4908.627431
1.53845357	3.69044719	34.55043901	4902.834009
1.54619166	3.68994296	35.17156231	4897.144963
1.55396779	3.68943569	35.80698794	4891.428279
1.56190332	3.68893425	36.46727567	4885.783854
1.56982818	3.68843692	37.13882676	4880.192127
1.57789586	3.68793435	37.83518484	4874.547986
1.58595087	3.68744336	38.54347525	4869.040198
1.59411621	3.68694214	39.27500147	4863.424072
1.60238846	3.68644295	40.03026453	4857.83713
1.6105618	3.68595621	40.79076028	4852.395709
1.61900383	3.68544734	41.59142784	4846.713407
1.62738534	3.68494793	42.4019022	4841.143209
1.63567854	3.6844606	43.21938075	4835.713918
1.64436797	3.68394031	44.0928296	4829.924144
1.65293031	3.68342859	44.97076858	4824.236498
1.66128692	3.68294017	45.84446617	4818.814073
1.6700663	3.68241864	46.78065518	4813.03079
1.67906287	3.68187078	47.75984075	4806.963008
1.68751904	3.68136842	48.69888749	4801.40588
1.69607264	3.68086468	49.66753883	4795.839938
1.70530438	3.68030479	50.73461628	4789.661152
1.71463615	3.67972178	51.83655726	4783.23568
1.72317566	3.67920348	52.86590364	4777.530629
1.73172363	3.67869463	53.91674058	4771.936215
1.74107033	3.67812304	55.08969019	4765.659836
1.7508484	3.67750111	56.34409401	4758.840073
1.7605026	3.67687799	57.61062675	4752.017048
1.7690517	3.67634435	58.75592936	4746.181586
1.77760703	3.67582246	59.92486026	4740.481543
1.78710128	3.67522863	61.24932121	4734.004103
1.79712253	3.6745786	62.67906798	4726.923785
1.80732791	3.67390166	64.16938987	4719.561612
1.81756868	3.67321461	65.7005008	4712.10121
1.82698103	3.67258873	67.13995255	4705.315294
1.83530897	3.67205413	68.43983755	4699.526794
1.84425505	3.67148154	69.86425785	4693.334845
1.85424247	3.67082468	71.48953463	4686.241654
1.86464624	3.67012115	73.22278448	4678.65638
1.87517218	3.66939755	75.01915707	4670.867525
1.88573248	3.66866476	76.86568114	4662.992962
1.89632929	3.66792469	78.76427685	4655.053643
1.90696233	3.66717811	80.7165015	4647.058182
1.91758777	3.66642865	82.71566583	4639.045691
1.92756325	3.66572636	84.63758247	4631.550034
1.93636721	3.66511635	86.37085325	4625.049125
1.94522463	3.66450937	88.15046955	4618.589565
1.95508131	3.66382493	90.17399484	4611.316487
1.96565091	3.66307763	92.39551915	4603.388517
1.97648051	3.66230063	94.72846719	4595.159918
1.98740148	3.66150933	97.14075621	4586.794996
1.99835091	3.66071074	99.62100301	4578.368448
2.00933936	3.65990524	102.1737563	4569.884671
2.02036063	3.65909381	104.7998425	4561.354331
2.03141481	3.65827665	107.5015708	4552.779845
2.04250142	3.65745394	110.281184	4544.163406
2.05361795	3.65662593	113.1404626	4535.507924
2.06476286	3.65579284	116.0814595	4526.815977
2.07592015	3.65495594	119.1023005	4518.101051
2.08710478	3.65411417	122.2094473	4509.352336
2.09832626	3.65326687	125.408294	4500.563254
2.10957434	3.65241487	128.6987533	4491.742693
2.12084696	3.65155841	132.0830108	4482.893382
2.13215123	3.65069695	135.5661399	4474.009995
2.14342659	3.64983497	139.1318597	4465.138866
2.15468189	3.64897196	142.7847712	4456.274758
2.16591157	3.64810839	146.524946	4447.422511
2.17708688	3.64724654	150.3442698	4438.605429
2.18820273	3.64638687	154.2420291	4429.828062
2.19927203	3.64552856	158.2238799	4421.081898
2.2102844	3.64467266	162.2872496	4412.377487
2.22121936	3.64382084	166.4253044	4403.731584
2.23204868	3.64297539	170.6273634	4395.167088
2.24274661	3.64213839	174.8826035	4386.704599
2.25328546	3.64131209	179.1783199	4378.366276
2.26361503	3.6405006	183.4911109	4370.192828
2.27363068	3.63971238	187.7719343	4362.268368
2.28329211	3.63895088	191.9959687	4354.626188
2.2924463	3.63822861	196.0858703	4347.390079
2.30093135	3.63755893	199.9545772	4340.691591
2.30845795	3.63696565	203.4501198	4334.765917
2.31456718	3.63648648	206.3322813	4329.985879
2.31848807	3.63618471	208.2035211	4326.978228
2.31888198	3.6361698	208.3924497	4326.829679
2.31400341	3.63658305	206.0646093	4330.948804
2.30659968	3.63719642	202.5814522	4337.069883
2.29800499	3.63790245	198.6117738	4344.126367
2.2889951	3.63863889	194.5338133	4351.499019
2.27972592	3.63939374	190.4258575	4359.068964
2.27044667	3.64014801	186.400327	4366.646246
2.26110289	3.64090576	182.4327858	4374.271751
2.25178788	3.6416596	178.5615224	4381.871121
2.24255616	3.64240536	174.8059295	4389.402028
2.23346892	3.64313839	171.1862664	4396.816998
2.22458373	3.64385431	167.719566	4404.070982
2.21596489	3.64454827	164.4238791	4411.113881
2.20768631	3.64521469	161.319293	4417.887881
2.19983723	3.64584686	158.4299299	4424.323353
2.19252519	3.64643676	155.7848391	4430.336972
2.18588965	3.64697404	153.4227101	4435.82128
2.18240264	3.64725801	152.1957903	4438.722657
2.18483073	3.6470628	153.0490823	4436.727954
2.18220518	3.64727392	152.1266074	4438.885269
2.18044753	3.64741676	151.5121741	4440.345464
2.17893374	3.64754046	150.984978	4441.610386
2.17754679	3.64765416	150.503566	4442.77337
2.17665782	3.64772742	150.1958109	4443.522873
2.17576715	3.6478008	149.8880985	4444.27373
2.17491883	3.64787083	149.5956035	4444.990427
2.17411329	3.64793749	149.3183871	4445.672743
2.17333558	3.64800199	149.0512354	4446.333048
2.17234673	3.64808376	148.712245	4447.170293
2.17170539	3.64813718	148.4927978	4447.717347
2.17086494	3.64820633	148.2057113	4448.425586
2.16969592	3.64830143	147.8073123	4449.39979
2.16917074	3.64834442	147.6286812	4449.84025
2.16832085	3.64841309	147.3400626	4450.543908
