LogL_07M003M	LogT_07M003M	L(sun)_07M003M	T_07M003M
1.33450058	3.63667004	21.6023292	4331.816388
1.35365399	3.63570228	22.57636355	4322.174333
1.37283618	3.63471804	23.59588006	4312.390096
1.39213053	3.63371272	24.66780633	4302.419171
1.41145837	3.63269032	25.79041734	4292.302487
1.43086941	3.63164807	26.96928359	4282.013873
1.45032736	3.63058761	28.20508157	4271.570809
1.4698069	3.6295106	29.49897325	4260.990834
1.4892612	3.62842014	30.85042846	4250.305431
1.50878496	3.62731072	32.26895935	4239.461738
1.52836077	3.62618313	33.75676109	4228.468795
1.54795857	3.62503941	35.31494791	4217.34772
1.56757415	3.62388007	36.94657203	4206.104612
1.58723465	3.62270377	38.65757882	4194.727662
1.60708667	3.62150265	40.4656639	4183.142411
1.6268588	3.6202924	42.35052515	4171.501461
1.64666991	3.61906561	44.32716027	4159.734479
1.66650228	3.61782357	46.39832258	4147.855038
1.68634304	3.61656732	48.56719707	4135.874196
1.70617022	3.6152988	50.83586527	4123.811449
1.72592511	3.61402273	53.20165101	4111.712403
1.74575479	3.61272916	55.68712412	4099.483663
1.76557492	3.61142386	58.28743176	4087.180899
1.78540591	3.61010567	61.01068625	4074.794113
1.80525215	3.60877434	63.86341675	4062.321955
1.82507034	3.60743327	66.84521739	4049.797146
1.84482706	3.60608545	69.95633681	4037.248204
1.86465217	3.60472199	73.2237843	4024.593209
1.8847009	3.60333211	76.6833187	4011.733823
1.90465812	3.60193737	80.28938291	3998.870775
1.92459745	3.60053306	84.06156091	3985.961137
1.94449497	3.59912142	88.00249192	3973.026118
1.96436913	3.59770131	92.12322434	3960.055841
1.9842415	3.59627106	96.43651332	3947.03575
2.00413118	3.59482901	100.955778	3933.951578
2.02401561	3.59337668	105.6855495	3920.81797
2.0438871	3.59191461	110.6336141	3907.640571
2.06366284	3.59044953	115.7878101	3894.480467
2.08342428	3.58897534	121.1781394	3881.283268
2.10320865	3.58748881	126.8261036	3868.020882
2.12303759	3.58598838	132.7509354	3854.680439
2.14294741	3.58447102	138.9784328	3841.236262
2.16278597	3.58294819	145.4741975	3827.790762
2.18252175	3.58142292	152.2375373	3814.370896
2.20222633	3.57988965	159.3038713	3800.928062
2.22194643	3.57834427	166.7041571	3787.426992
2.24163271	3.57679063	174.4346307	3773.902102
2.26128146	3.57522904	182.5078126	3760.356672
2.28084631	3.57366355	190.9177511	3746.826214
2.30033328	3.57209397	199.6794078	3733.309281
2.31981173	3.57051443	208.8390601	3719.755803
2.3392504	3.56892743	218.3988765	3706.187867
2.35868748	3.56732988	228.3954669	3692.579719
2.37819011	3.5657164	238.8856763	3678.886591
2.39753259	3.56410653	249.7655809	3665.274708
2.41683453	3.56249053	261.1166288	3651.661645
2.43611424	3.56086671	272.9695728	3638.033635
2.45533304	3.55923844	285.3205418	3624.419347
2.4744905	3.5576059	298.188232	3610.820505
2.49357655	3.55597014	311.5850056	3597.246014
2.5125597	3.55433425	325.506526	3583.721482
2.53147364	3.55269539	339.9958687	3570.223383
2.55036736	3.55104899	355.1136449	3556.714373
2.56920269	3.54939842	370.8537629	3543.222458
2.58800538	3.54774115	387.2624423	3529.727268
2.60672209	3.54608171	404.3170818	3516.265908
2.6253878	3.54441573	422.0732223	3502.803137
2.64399445	3.5427428	440.5492335	3489.336071
2.66251585	3.54106428	459.743767	3475.876041
2.68095684	3.53937861	479.6857753	3462.41093
2.69926185	3.5376901	500.3361127	3448.975426
2.71741981	3.53599901	521.6987666	3435.571647
2.7355058	3.53429677	543.8833952	3422.1321
2.75348332	3.53258542	566.8697993	3408.673623
2.77133773	3.53086503	590.6602298	3395.197403
2.78905188	3.52913596	615.250365	3381.706872
2.80664909	3.52739491	640.6916884	3368.177032
2.82412671	3.52564014	667.0013455	3354.595345
2.84145138	3.52387332	694.1468864	3340.975724
2.85862847	3.52209207	722.1517533	3327.300843
2.87564572	3.52029586	751.0100003	3313.56779
2.89244598	3.51848944	780.6313348	3299.813842
2.90902981	3.51667142	811.0167242	3286.029213
2.92545363	3.51483323	842.2744563	3272.150195
2.94167558	3.51297665	874.3304023	3258.191827
2.95770448	3.51109691	907.2030048	3244.119997
2.97356016	3.50918886	940.9361628	3229.89839
2.98913274	3.50726452	975.2876841	3215.618511
3.0044499	3.50531983	1010.298946	3201.251758
3.01952566	3.5033529	1045.98549	3186.785996
3.03434548	3.50136684	1082.294571	3172.245865
3.04889696	3.49936634	1119.172319	3157.667084
3.06317935	3.49735786	1156.589779	3143.097549
3.07720682	3.49535041	1194.556842	3128.602658
3.09102184	3.49334769	1233.166846	3114.208531
3.10461504	3.49135963	1272.374744	3099.985268
3.11796516	3.48939668	1312.094636	3086.005388
3.13110468	3.4874589	1352.398499	3072.266604
3.14401522	3.48555261	1393.205627	3058.810765
3.15672232	3.48367685	1434.571901	3045.627954
3.16919338	3.48183981	1476.363773	3032.772336
